Country,Year,Population,External Cost,Share External Cost,GDP [million Euro],GrDP per capita
Switzerland,2011,7870134,30155.46385,5.796882487,520201.4,62266.53017
United Kingdom,2011,63022532,269869.1906,14.10808311,1912869.3,26070.04284
Belgium,2012,11075889,72645.93538,18.81167652,386174.7,28307.32275
Bulgaria,2012,7327224,52520.62072,124.2891575,42256.8,-1400.778893
Czechia,2012,10505445,72571.40966,44.63529463,162587.5,8568.517596
Denmark,2012,5580516,17087.49848,6.712087643,254578,42557.08639
Germany,2012,80327900,385441.2514,14.03999007,2745310,29377.9465
Estonia,2012,1325217,4442.16419,24.79342842,17916.7,10167.79577
Ireland,2012,4589287,15865.60433,9.034289891,175615.4,34809.28425
Greece,2012,11086406,43796.59073,23.24899206,188380.6,13041.55822
Spain,2012,46818219,154104.1463,14.94562077,1031099,18731.91404
France,2012,65276983,242788.981,11.6233491,2088804,28279.72333
Croatia,2012,4275984,23928.44861,53.79161896,44483.6,4807.116067
Italy,2012,59394207,403765.9578,24.85694556,1624358.7,20550.70358
Cyprus,2012,862011,1743.78502,8.969718427,19440.8,20529.91781
Latvia,2012,2044813,6610.60027,29.91560253,22097.5,7573.748666
Lithuania,2012,3003641,4564.03166,13.66059365,33410.2,9603.733715
Luxembourg,2012,524853,5461.20441,11.73791199,46526.2,78240.94668
Hungary,2012,9931925,52498.45863,52.35124692,100281.2,4811.025191
Malta,2012,417546,1192.82763,16.19699409,7364.5,14780.82024
Netherlands,2012,16730348,79371.96046,12.15560388,652966,34284.64486
Austria,2012,8408121,39357.51065,12.35121297,318653,33217.34896
Poland,2012,38063792,166911.4399,43.02428937,387947,5806.97688
Portugal,2012,10542398,41845.96112,24.8645604,168295.6,11994.39054
Romania,2012,20095996,100747.6623,75.91496597,132711.2,1590.542598
Slovenia,2012,2055496,17286.91356,47.68369655,36253.3,9227.158039
Slovakia,2012,5404322,26027.51117,35.47877227,73360.8,8758.413882
Finland,2012,5401267,11366.35433,5.653861891,201037,35115.9544
Sweden,2012,9482855,9211.95315,2.142129865,430037.1,44377.47354
Norway,2012,4985870,11399.42698,2.874842722,396523.5,77243.10361
Switzerland,2012,7954662,30106.71935,5.591481923,538439,63903.69329
United Kingdom,2012,63495088,278674.2036,13.20087108,2111028.9,28858.21178
Belgium,2013,11137974,71680.54303,18.24489489,392880,28838.23009
Bulgaria,2013,7284552,44404.78096,105.5994525,42050.2,-323.2293434
Czechia,2013,10516125,71806.44321,45.03058306,159461.5,8335.300007
Denmark,2013,5602628,17006.5548,6.572767,258742.7,43146.92055
Germany,2013,80523746,386353.1547,13.74262026,2811350,30115.30096
Estonia,2013,1320174,5185.07985,27.41861714,18910.8,10396.90234
Ireland,2013,4609779,16047.73716,8.942355832,179457.6,35448.52429
Greece,2013,11003615,40696.90249,22.62391986,179884.4,12649.25186
